,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_hall_eff,imu,l_pressure,r_pressure,command,timestamp
0,1.1372350454330444,0.6657476619423682,0.0,4.020180373595012e-10,-0.08010928332805634,-1.1029322147369385,-0.9418642037617837,0.0,-5.687536288910917e-10,-0.15354278683662415,"[-0.004871936049312353, -0.08624085783958435, 0.08297613263130188, -0.9928009510040283, -0.012783367186784744, 0.018109770491719246, 0.006391683593392372, -1.4557487964630127, 0.023943237960338593, 9.515042304992676]","[3.2076969528614563, 4.445506161932579, 6.493074481140683, 0.0]","[1.7621209738620915, 9.967552580467416, 5.341312024835924, 1.4675788463487915]",[],1656014407.5004003
1,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.13351546227931976,-1.104466199874878,-0.9418642037617837,0.0,0.0,-0.15354278683662415,"[-0.004847688600420952, -0.0862429141998291, 0.08270236104726791, -0.9928237199783325, -0.010652806609869003, 0.020240332931280136, 0.003195841796696186, -1.4509601593017578, 0.019154589623212814, 9.476733207702637]","[3.333814221617908, 4.485099067774299, 6.568023648532007, 0.0]","[1.7693913419994989, 10.13956552813941, 5.42649780521389, 1.6538816938373622]",[],1656014407.6186507
2,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.10013660043478012,-1.104466199874878,-0.9418642037617837,0.0,0.0,-0.13351546227931976,"[-0.0048315259627997875, -0.08626125752925873, 0.08260037004947662, -0.9928306937217712, -0.011718086898326874, 0.018109770491719246, 0.004261122550815344, -1.441382884979248, 0.08140700310468674, 9.49109935760498]","[3.2794148216067285, 4.704577459568417, 6.517521753329083, 0.0]","[1.8479893613832779, 9.741219963940441, 5.520040665865746, 1.3774724942603092]",[],1656014407.6668565
3,1.1357003450393677,0.6657476619423682,0.0,0.0,-0.10681237280368805,-1.104466199874878,-0.9387962421860125,0.0,0.11555179559363946,-0.18024587631225586,"[-0.004832750651985407, -0.08624758571386337, 0.08223582804203033, -0.9928621649742126, -0.01384864840656519, 0.020240332931280136, 0.00745696434751153, -1.503635287284851, 0.06225241720676422, 9.481521606445312]","[3.0441567990723017, 4.279752759792829, 6.5612681989745365, 0.0]","[2.0072658755528683, 9.925973267095209, 5.518753641182909, 1.5285031032374095]",[],1656014407.693407
4,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.09346082806587219,-1.1029322147369385,-0.9418642037617837,0.0,-0.03064296959770459,-0.16021856665611267,"[-0.0048124114982783794, -0.08624021708965302, 0.08217715471982956, -0.9928677678108215, -0.010652806609869003, 0.021305613219738007, 0.004261122550815344, -1.4892693758010864, 0.023943237960338593, 9.55813980102539]","[3.162999592138726, 4.390477452492247, 6.42713210315018, 0.0]","[1.847299292543117, 9.941733260358372, 5.569866634772276, 1.498681942405846]",[],1656014407.7935266
5,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.13351546227931976,-1.104466199874878,-0.9418642037617837,0.0,0.0,-0.1401912420988083,"[-0.00467280950397253, -0.08623810857534409, 0.08118072897195816, -0.9929505586624146, -0.011718086898326874, 0.018109770491719246, 0.002130561275407672, -1.4557487964630127, 0.0, 9.471944808959961]","[2.9817918276427795, 4.358939068699682, 6.476025694175364, 0.0]","[1.9840684721313948, 9.87768889601371, 5.579184693476018, 1.7090353402302239]",[],1656014407.851357
6,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.11348814517259598,-1.104466199874878,-0.9387962421860125,0.0,0.26767548330878627,-0.17357011139392853,"[-0.004678366705775261, -0.08623061329126358, 0.08116725087165833, -0.992952287197113, -0.00745696434751153, 0.019175050780177116, 0.005326403304934502, -1.4940580129623413, 0.1101388931274414, 9.467155456542969]","[3.0781118828055662, 4.4850990677743, 6.386923545355104, 0.0]","[1.836221223126966, 9.702992930811174, 5.551861636135188, 1.5490273807125927]",[],1656014407.8628185
7,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.08678505569696426,-1.104466199874878,-0.9418642037617837,0.0,-0.5029495215596359,-0.18024587631225586,"[-0.004680207930505276, -0.08622164279222488, 0.08112217485904694, -0.9929567575454712, -0.011718086898326874, 0.021305613219738007, 0.004261122550815344, -1.4892693758010864, 0.11971618235111237, 9.467155456542969]","[3.1072138931182955, 4.6488382178724965, 6.412335609379825, 0.0]","[1.69079743016834, 9.739877957951759, 5.686230826429881, 1.4053726542346827]",[],1656014407.8689184
8,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.10681237280368805,-1.104466199874878,-0.9387962421860125,0.0,0.78101259462875,-0.18024587631225586,"[-0.004680676851421595, -0.08621859550476074, 0.08110684901475906, -0.9929582476615906, -0.009587525390088558, 0.022370893508195877, 0.006391683593392372, -1.4318056106567383, 0.03352053090929985, 9.519830703735352]","[3.002577070788155, 4.643135065338155, 6.394001227759093, 0.0]","[1.9020077858889526, 9.691929212673283, 5.751485837904588, 1.5236948951512947]",[],1656014407.8728466
9,1.1372350454330444,0.6657476619423682,0.0,0.0,-0.09346082806587219,-1.104466199874878,-0.9418642037617837,0.0,-0.9309769576836409,-0.14686700701713562,"[-0.0046727899461984634, -0.08621915429830551, 0.08108978718519211, -0.9929596781730652, -0.008522245101630688, 0.018109770491719246, 0.005326403304934502, -1.4605374336242676, 0.052675120532512665, 9.49109935760498]","[3.064249919601207, 4.626023618841485, 6.464768041607004, 0.0]","[1.802978799773273, 9.669798793057025, 5.705517129640104, 1.5596061992944636]",[],1656014407.876142
