Unnamed: 0,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
0,0.312652668167241,0.308852146511335,0,5.83397930401765E-10,0.117539259103628,-0.308105469727305,-0.298211832807039,0,-5.63299196868489E-10,-0.150632837898711,"[-1.8005044660038068, 16.55437975866184, -6.769714065090495, 0.005326403304934502, -0.01491392869502306, -0.017044490203261375, -3.790893077850342, -0.04591035842895508, 8.915602684020996]","[0.0, 0.20795166174447752, 0.0]","[3.7474988657586, 0.0, 0.0]",[],1663166055.21251
1,0.312652668167241,0.310452416700513,0,0.0792827313391799,0.113545207895784,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.6677915287839098, 16.868883707789166, -6.768930387141529, 0.01491392869502306, -0.05432931333780289, 0.003195841796696186, -3.9396166801452637, 0.0019503182265907526, 8.981917381286621]","[0.06639842186434435, 0.07404222121341655, 0.0]","[3.921587292082928, 0.0, 0.0]",[],1663166055.27593
2,0.313141197447627,0.310452416700513,0,0,0.119250992424468,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.65378255778579, 16.88910744034178, -6.765285546809754, 0.01384864840656519, -0.0575251542031765, 0.001065280637703836, -3.9396166801452637, 0.03066672384738922, 8.944023132324219]","[0.06311845671027669, 0.05542429560738982, 0.0]","[3.8093407649906554, 0.0, 0.0]",[],1663166055.28131
3,0.313141197447627,0.310452416700513,0,0,0.118109833480965,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.6382710061803742, 16.910189924549776, -6.761746138286994, 0.01491392869502306, -0.06498211622238159, -0.001065280637703836, -3.9684016704559326, -0.0076218172907829285, 9.00086498260498]","[0.0, 0.08192099460926534, 0.0]","[3.963773635708802, 0.0, 0.0]",[],1663166055.28733
4,0.312652668167241,0.310452416700513,0,0,0.120962725745307,-0.308105469727305,-0.298211832807039,0,0,-0.151773996842213,"[-1.6223223525919617, 16.93069965259383, -6.757793669301982, 0.015979209914803505, -0.07030852138996124, 0.002130561275407672, -4.006782054901123, 0.08809953927993774, 8.99612808227539]","[0.0, 0.09015625438553498, 0.0]","[3.952334242394225, 0.0, 0.0]",[],1663166055.29374
5,0.313141197447627,0.310452416700513,0,0,0.119250992424468,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.6055652099457707, 16.947943793746525, -6.75340729185657, 0.01384864840656519, -0.07456964254379272, 0.004261122550815344, -4.02597188949585, 0.04502493143081665, 9.0387601852417]","[0.1808884216987742, 0.10232983988835871, 0.0]","[3.8819112067191837, 0.0, 0.0]",[],1663166055.3005
6,0.313141197447627,0.308852146511335,0,-0.936259286059187,0.116968674537463,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.5890313716446962, 16.96523053664312, -6.748153639721465, 0.012783367186784744, -0.0756349265575409, 0.002130561275407672, -3.9588067531585693, 0.0833134725689888, 8.92033863067627]","[0.16717308727406133, 0.12238007684429061, 0.0]","[3.6892303181017176, 0.0, 0.0]",[],1663166055.30587
7,0.313141197447627,0.310452416700513,0,0.945283168540144,0.114686366839287,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.5779342532886187, 16.975136058775686, -6.744983091372859, 0.01384864840656519, -0.08415716886520386, -0.001065280637703836, -3.9875917434692383, 0.04502493143081665, 9.071917533874512]","[0.07802562224417128, 0.046828305565218144, 0.0]","[3.7310559314616896, 0.0, 0.0]",[],1663166055.31119
8,0.312652668167241,0.310452416700513,0,0,0.117539259103628,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.561353565597957, 16.9873646040899, -6.740440838481631, 0.009587525390088558, -0.08735301345586777, 0.002130561275407672, -3.9971868991851807, 0.09767167270183563, 8.835075378417969]","[0.0401600258702491, 0.0, 0.0]","[3.7610835431839234, 0.0, 0.0]",[],1663166055.32373
9,0.312652668167241,0.310452416700513,0,0,0.116398100160126,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.5198135501753358, 17.012516258257733, -6.7272849083862996, 0.010652806609869003, -0.09907110035419464, 0.002130561275407672, -3.906033754348755, 0.08809953927993774, 8.953496932983398]","[0.09531821698102419, 0.15353019627630252, 0.0]","[3.768588854657427, 0.0, 0.0]",[],1663166055.33175
10,0.313141197447627,0.310452416700513,0,0,0.119250992424468,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.4853337705439287, 17.02397374531521, -6.7167764747182375, 0.008522245101630688, -0.10972390323877335, 0.0, -4.021174430847168, 0.1598905622959137, 8.854022979736328]","[0.11738255361609111, 0.06258373041417511, 0.0]","[3.870469691461868, 0.0, 0.0]",[],1663166055.34527
11,0.312652668167241,0.310452416700513,0,0,0.115256941216624,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.4602035716653892, 17.028274843662565, -6.709263917329833, 0.00745696434751153, -0.11931142956018448, 0.001065280637703836, -3.9684016704559326, 0.1598905622959137, 8.872970581054688]","[0.0, 0.2713256036352451, 0.0]","[3.8940614508518614, 0.0, 0.0]",[],1663166055.35081
12,0.312652668167241,0.310452416700513,0,0,0.117539259103628,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.4057275160734264, 17.02466118275962, -6.6964606879479796, 0.010652806609869003, -0.1288989633321762, -0.004261122550815344, -3.99238920211792, 0.18860696256160736, 8.939286231994629]","[0.055961727355253066, 0.2126072041173545, 0.0]","[4.135718899865123, 0.0, 0.0]",[],1663166055.37128
13,0.313141197447627,0.310452416700513,0,0,0.119250992424468,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.38322710461236, 17.01547905521384, -6.691763219993383, 0.005326403304934502, -0.13955175876617432, -0.006391683593392372, -4.021174430847168, 0.15510448813438416, 8.981917381286621]","[0.1102253825149188, 0.1757278392857219, 0.0]","[3.934813361185089, 0.0, 0.0]",[],1663166055.37926
14,0.313141197447627,0.299250525376267,0,-3.00560011167532,0.116398100160126,-0.308105469727305,-0.298211832807039,0,0,-0.151203412276048,"[-1.36136185537929, 17.001080174235216, -6.688030391206722, 0.0, -0.14807401597499847, -0.010652806609869003, -3.977996826171875, 0.1598905622959137, 8.99612808227539]","[0.1558431820523068, 0.05005578047367114, 0.0]","[3.8979955326929336, 0.0, 0.0]",[],1663166055.39097
15,0.313141197447627,0.310452416700513,0,4.69795415144896,0.115256941216624,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.3445671322938388, 16.98842121240841, -6.6866117392897415, 0.001065280637703836, -0.1544656902551651, -0.012783367186784744, -3.9444141387939453, 0.17903482913970947, 8.91086483001709]","[0.20146098158969475, 0.059723351599845965, 0.0]","[3.954833890942653, 0.0, 0.0]",[],1663166055.39846
16,0.312652668167241,0.310452416700513,0,0,0.116968674537463,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.3282543011426442, 16.971480980600283, -6.687035671208313, -0.002130561275407672, -0.15553097426891327, -0.01491392869502306, -3.963604211807251, 0.14553235471248627, 8.92033863067627]","[0.058646660447027245, 0.08586144227856005, 0.0]","[3.72497656550987, 0.0, 0.0]",[],1663166055.40773
17,0.312652668167241,0.310452416700513,0,0,0.118109833480965,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.316639271240252, 16.956689083146998, -6.688189574432836, -0.003195841796696186, -0.16298793256282806, -0.019175050780177116, -3.8676536083221436, 0.14074628055095673, 9.00086498260498]","[0.06341707710679516, 0.11593573674108762, 0.0]","[3.785388275334759, 0.0, 0.0]",[],1663166055.41272
18,0.313141197447627,0.310452416700513,0,0,0.119821576990633,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.305395418249256, 16.94005223480722, -6.690186939838333, -0.004261122550815344, -0.16724905371665955, -0.022370893508195877, -3.9396166801452637, 0.1694626808166504, 8.991392135620117]","[0.11201533790943492, 0.22692819567366573, 0.0]","[3.859743270908133, 0.0, 0.0]",[],1663166055.41908
19,0.313141197447627,0.310452416700513,0,0,0.116398100160126,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.2865228608116213, 16.904847309045962, -6.695742605334005, -0.005326403304934502, -0.17151018977165222, -0.02556673437356949, -3.8820462226867676, 0.19817909598350525, 9.052970886230469]","[0.05805030314628766, 0.15245649324955876, 0.0]","[3.856528527656124, 0.0, 0.0]",[],1663166055.42893
20,0.312652668167241,0.310452416700513,0,0,0.115256941216624,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.2791910052076627, 16.887930559324115, -6.6997878905647035, -0.009587525390088558, -0.17364074289798737, -0.03195841982960701, -3.8676536083221436, 0.23168157041072845, 9.00086498260498]","[0.0, 0.06867370607969787, 0.0]","[3.992727544404292, 0.0, 0.0]",[],1663166055.43409
21,0.313141197447627,0.310452416700513,0,0,0.115256941216624,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.268119010195991, 16.858797190693128, -6.706507231851081, -0.011718086898326874, -0.17896714806556702, -0.02982785739004612, -3.8820462226867676, 0.21253728866577148, 8.901391983032227]","[0.07116839677796354, 0.1900530747275143, 0.0]","[3.933028807340245, 0.0, 0.0]",[],1663166055.44212
22,0.312652668167241,0.310452416700513,0,0,0.116398100160126,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.2586020253145374, 16.818458627395508, -6.718500746798224, -0.01384864840656519, -0.18535883724689484, -0.03621954098343849, -3.8964385986328125, 0.1933930367231369, 8.981917381286621]","[0.0, 0.28135178308458136, 0.0]","[3.915866534454269, 0.0, 0.0]",[],1663166055.45184
23,0.313141197447627,0.310452416700513,0,0,0.117539259103628,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.2544237917435836, 16.80091993557212, -6.723066186244912, -0.01491392869502306, -0.18748939037322998, -0.03515426069498062, -3.8244760036468506, 0.19817909598350525, 8.953496932983398]","[0.0, 0.15532111594936912, 0.0]","[3.8400834714164715, 0.0, 0.0]",[],1663166055.45664
24,0.312652668167241,0.310452416700513,0,0,0.116398100160126,-0.308105469727305,-0.298211832807039,0,0,-0.150632837898711,"[-1.2494650366930884, 16.77426631668155, -6.73204035220763, -0.012783367186784744, -0.18748939037322998, -0.04154594615101814, -3.877248525619507, 0.1503184288740158, 9.03402328491211]","[0.03360230429285724, 0.10985000496104606, 0.0]","[3.8515271086165286, 0.0, 0.0]",[],1663166055.4611
