,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
10,1.0037134885787964,0.5978260980919003,0.0,-0.4892078903634432,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2803824841976166,"[0.05952996015548706, -0.12625327706336975, -0.30215582251548767, -0.9429836273193359, -0.018109770491719246, -0.10120166093111038, -0.18748939037322998, -3.4166858196258545, -0.026766089722514153, 9.100339889526367]","[0.0, 0.0, 0.0, 0.0]","[0.38737606557622273, 0.0, 1.105694989913372, 0.0]",[],1661436447.8575563
11,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.059546101838350296, -0.12616199254989624, -0.30166739225387573, -0.9431512355804443, -0.020240332931280136, -0.10013637691736221, -0.1832282692193985, -3.392698287963867, -0.04591035842895508, 9.14770793914795]","[0.0, 0.0, 0.0, 0.0]","[0.23717398444126853, 0.0, 1.2387865233867168, 0.0]",[],1661436447.8629553
12,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2670309245586395,"[0.05956079065799713, -0.1261175274848938, -0.3013418912887573, -0.9432602524757385, -0.018109770491719246, -0.0969405397772789, -0.18109770119190216, -3.4166858196258545, -0.07941283285617828, 9.14297103881836]","[0.02666399481130588, 0.0, 0.0, 0.0]","[0.2674542007977927, 0.0, 1.324938303836991, 0.0]",[],1661436447.8673775
13,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.05957658216357231, -0.126060351729393, -0.30101892352104187, -0.9433700442314148, -0.020240332931280136, -0.09587525576353073, -0.18216298520565033, -3.3303303718566895, -0.055482491850852966, 9.2092866897583]","[0.10413634278214574, 0.0, 0.0, 0.0]","[0.3951711269297535, 0.0, 1.3638640562805942, 0.0]",[],1661436447.8726208
14,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.05961870029568672, -0.12595635652542114, -0.30038076639175415, -0.943584680557251, -0.020240332931280136, -0.0969405397772789, -0.17790186405181885, -3.378305673599243, -0.08419889956712723, 9.157181739807129]","[0.08972297581277544, 0.0, 0.0, 0.0]","[0.34180469810270453, 0.0, 1.3449716063243335, 0.0]",[],1661436447.8808239
15,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.05964220315217972, -0.12588422000408173, -0.29991665482521057, -0.9437404274940491, -0.020240332931280136, -0.08948357403278351, -0.1725754588842392, -3.378305673599243, -0.08419889956712723, 9.161918640136719]","[0.09482862755029726, 0.0, 0.0, 0.0]","[0.3840771454268916, 0.0, 1.2316287993160582, 0.0]",[],1661436447.8859468
16,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8140703430399299,0.0,3.406643655547923,-0.2803824841976166,"[0.05966595187783241, -0.1258455365896225, -0.29961368441581726, -0.9438403248786926, -0.024501454085111618, -0.09054885059595108, -0.16937962174415588, -3.354318141937256, -0.0698406994342804, 9.195075988769531]","[0.0, 0.0, 0.0, 0.0]","[0.3528986796055664, 0.0, 1.2044386222387202, 0.0]",[],1661436447.890372
17,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0001554489135742,-0.8291457197628915,0.0,-2.6476305539998743,-0.2603551745414734,"[0.05969667434692383, -0.1257738173007965, -0.29916706681251526, -0.9439895749092102, -0.018109770491719246, -0.08522245287895203, -0.1651185005903244, -3.363913059234619, -0.11770137399435043, 9.152444839477539]","[0.04348025695620384, 0.05382472476673802, 0.0, 0.0]","[0.3744842504491603, 0.0, 1.1629380939040457, 0.0]",[],1661436447.896066
18,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0001554489135742,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.05974959582090378, -0.1257009208202362, -0.2986014187335968, -0.9441750049591064, -0.018109770491719246, -0.08202660828828812, -0.1576615273952484, -3.3591156005859375, -0.10812924057245255, 9.199812889099121]","[0.2002263457076802, 0.0, 0.0, 0.0]","[0.30343044880258196, 0.0, 1.2874413778693965, 0.0]",[],1661436447.9033458
19,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.30040979385375977,"[0.059761203825473785, -0.1256914734840393, -0.29833030700683594, -0.9442612528800964, -0.021305613219738007, -0.07776548713445663, -0.15233513712882996, -3.4598634243011475, -0.041124291718006134, 9.176129341125488]","[0.1632922318793561, 0.0, 0.0, 0.0]","[0.21588827498414118, 0.0, 1.4136631612170096, 0.0]",[],1661436447.9077306
20,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.05978444963693619, -0.12567266821861267, -0.2979923486709595, -0.9443689584732056, -0.023436173796653748, -0.0788307636976242, -0.1512698531150818, -3.354318141937256, -0.12248744070529938, 9.195075988769531]","[0.18881515178857106, 0.0, 0.0, 0.0]","[0.26955278560485874, 0.0, 1.3100511552091372, 0.0]",[],1661436447.9134827
21,1.0037134885787964,0.5951087067369372,0.0,-0.5429997822623869,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.0598270408809185, -0.12566295266151428, -0.2976722717285156, -0.9444684982299805, -0.021305613219738007, -0.07989604771137238, -0.14168232679367065, -3.469458818435669, -0.13205957412719727, 9.11454963684082]","[0.10593862538834138, 0.0, 0.0, 0.0]","[0.3816791441315585, 0.0, 1.2422175757865972, 0.0]",[],1661436447.918487
22,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.05987286940217018, -0.12566599249839783, -0.2972962558269501, -0.9445836544036865, -0.021305613219738007, -0.07456964254379272, -0.13742120563983917, -3.4022932052612305, -0.07462676614522934, 9.14297103881836]","[0.048585463795526126, 0.0, 0.0, 0.0]","[0.47911540900879573, 0.0, 1.2582481253875233, 0.0]",[],1661436447.923161
